Country,Last,Previous,Reference,Unit
Lebanon,211,206,May/22,%
Zimbabwe,192,132,Jun/22,%
Sudan,192,221,May/22,%
Venezuela,167,222,May/22,%
Syria,139,134,Aug/21,%
Turkey,73.5,69.97,May/22,%
Argentina,60.7,58,May/22,%
Suriname,59.8,62.2,Apr/22,%
Iran,39.3,35.6,May/22,%
Sri Lanka,39.1,29.8,May/22,%
Ethiopia,37.7,36.6,May/22,%
Moldova,29.1,27.1,May/22,%
Ghana,27.6,23.6,May/22,%
Haiti,25.17,23.95,Feb/22,%
Angola,24.42,25.79,May/22,%
Cuba,23.69,21.71,Apr/22,%
Sierra Leone,22.44,22.06,Apr/22,%
Estonia,20,18.8,May/22,%
Malawi,19.1,15.7,May/22,%
Lithuania,18.9,16.8,May/22,%
Burundi,18.57,16.09,May/22,%
Ukraine,18,16.4,May/22,%
Nigeria,17.71,16.82,May/22,%
Russia,17.1,17.8,May/22,%
Belarus,17,16.8,May/22,%
Latvia,16.9,13,May/22,%
Czech Republic,16,14.2,May/22,%
Bulgaria,15.6,14.4,May/22,%
Burkina Faso,15.3,15.1,May/22,%
Mongolia,15.1,14.4,May/22,%
Sao Tome and Principe,14.9,14.4,May/22,%
Rwanda,14.8,10.5,May/22,%
Romania,14.49,13.76,May/22,%
Bosnia and Herzegovina,14.4,13.2,May/22,%
Kazakhstan,14,13.2,May/22,%
Kyrgyzstan,14,14.5,May/22,%
Poland,13.9,12.4,May/22,%
Myanmar,13.82,12.63,Jan/22,%
Pakistan,13.8,13.4,May/22,%
Egypt,13.5,13.1,May/22,%
Georgia,13.3,12.8,May/22,%
Laos,12.8,9.9,May/22,%
Azerbaijan,12.6,12.4,May/22,%
Slovakia,12.6,11.8,May/22,%
Kosovo,12.5,11.2,May/22,%
Turkmenistan,12.45,7.58,Dec/21,%
Botswana,11.9,9.6,May/22,%
Macedonia,11.9,10.5,May/22,%
Brazil,11.73,12.13,May/22,%
Montenegro,11.7,11.2,May/22,%
Gambia,11.58,11.69,May/22,%
Chile,11.5,10.5,May/22,%
Paraguay,11.4,11.8,May/22,%
Greece,11.3,10.2,May/22,%
Cayman Islands,11.2,7.6,Mar/22,%
Guinea,10.99,12.42,Apr/22,%
Uzbekistan,10.95,10.38,May/22,%
Jamaica,10.9,11.8,May/22,%
Croatia,10.8,9.4,May/22,%
Hungary,10.7,9.5,May/22,%
Mauritius,10.7,11,May/22,%
Nicaragua,10.61,9.95,May/22,%
Serbia,10.4,9.6,May/22,%
Zambia,10.2,11.5,May/22,%
Algeria,10,9.8,Apr/22,%
Dominican Republic,9.47,9.64,May/22,%
Uruguay,9.37,9.37,May/22,%
Barbados,9.3,4,Mar/22,%
Mozambique,9.3,7.9,May/22,%
Cyprus,9.1,8.8,May/22,%
United Kingdom,9.1,9,May/22,%
Honduras,9.09,8.35,May/22,%
Colombia,9.07,9.23,May/22,%
Armenia,9,8.4,May/22,%
Belgium,8.97,8.31,May/22,%
European Union,8.8,8.1,May/22,%
Netherlands,8.8,9.6,May/22,%
Peru,8.78,7.96,May/22,%
Costa Rica,8.71,7.14,May/22,%
Spain,8.7,8.3,May/22,%
United States,8.6,8.3,May/22,%
Mauritania,8.2,6.8,Apr/22,%
Euro Area,8.1,7.4,May/22,%
Slovenia,8.1,6.9,May/22,%
Portugal,8,7.2,May/22,%
Togo,8,7.5,May/22,%
Germany,7.9,7.4,May/22,%
Nepal,7.87,7.28,May/22,%
Cape Verde,7.8,7.6,May/22,%
Ireland,7.8,7,May/22,%
Lesotho,7.8,7.3,May/22,%
Tunisia,7.8,7.5,May/22,%
Austria,7.7,7.2,May/22,%
Canada,7.7,6.8,May/22,%
Mexico,7.65,7.68,May/22,%
Iceland,7.6,7.2,May/22,%
Mali,7.5,4.5,Feb/22,%
El Salvador,7.48,6.55,May/22,%
Guyana,7.46,6.77,Apr/22,%
Bangladesh,7.42,7.42,May/22,%
Denmark,7.4,6.7,May/22,%
East Timor,7.4,6.6,May/22,%
Senegal,7.4,7,May/22,%
Sweden,7.3,6.4,May/22,%
Tajikistan,7.3,7.3,Apr/22,%
Cambodia,7.2,6.3,Mar/22,%
Kenya,7.1,6.47,May/22,%
Thailand,7.1,4.65,May/22,%
Congo,7.07,5.94,Apr/22,%
India,7.04,7.79,May/22,%
Finland,7,5.7,May/22,%
New Zealand,6.9,5.9,Mar/22,%
Papua New Guinea,6.9,5.7,Mar/22,%
Italy,6.8,6,May/22,%
Luxembourg,6.8,7,May/22,%
Albania,6.7,6.2,May/22,%
Guinea Bissau,6.7,6.8,Apr/22,%
Somalia,6.7,6.5,May/22,%
South Africa,6.5,5.9,May/22,%
Uganda,6.3,4.9,May/22,%
Madagascar,6.17,6.22,Apr/22,%
Puerto Rico,6.1,5.1,Apr/22,%
Morocco,5.9,5.9,May/22,%
Guatemala,5.82,4.62,May/22,%
Belize,5.8,5.7,Apr/22,%
Malta,5.8,5.4,May/22,%
Bhutan,5.79,5.57,Apr/22,%
Libya,5.7,4.8,Mar/22,%
Norway,5.7,5.4,May/22,%
Singapore,5.6,5.4,May/22,%
Liberia,5.44,4.42,Nov/21,%
Namibia,5.4,5.6,May/22,%
Philippines,5.4,4.9,May/22,%
South Korea,5.4,4.8,May/22,%
Djibouti,5.3,5.3,May/22,%
France,5.2,4.8,May/22,%
Iraq,5.2,5,Mar/22,%
Qatar,5.18,4.66,May/22,%
Australia,5.1,3.5,Mar/22,%
Trinidad and Tobago,5.1,4.1,Apr/22,%
Fiji,5,4.7,May/22,%
Niger,4.89,4.41,Dec/21,%
Kuwait,4.71,4.36,Apr/22,%
Aruba,4.7,4,Apr/22,%
Cameroon,4.61,4.47,Mar/22,%
Eritrea,4.5,4.8,Dec/21,%
Faroe Islands,4.4,3.4,Mar/22,%
Jordan,4.4,3.6,May/22,%
Panama,4.22,3.65,May/22,%
Bahamas,4.1,4.2,Dec/21,%
Israel,4.1,4,May/22,%
Tanzania,4,3.8,May/22,%
Comoros,3.59,0.88,Sep/21,%
Indonesia,3.55,3.47,May/22,%
Bahrain,3.5,3.5,May/22,%
Chad,3.5,2.2,Mar/22,%
Ivory Coast,3.5,4,May/22,%
Palestine,3.43,3.78,May/22,%
Swaziland,3.4,3.3,Mar/22,%
Taiwan,3.39,3.38,May/22,%
Ecuador,3.38,2.89,May/22,%
Brunei,3.2,2.8,Feb/22,%
Equatorial Guinea,2.9,3,Dec/21,%
Switzerland,2.9,2.5,May/22,%
Vietnam,2.86,2.64,May/22,%
Malaysia,2.8,2.3,May/22,%
Central African Republic,2.7,4.2,Dec/21,%
Bermuda,2.5,2.5,Feb/22,%
Japan,2.5,2.5,May/22,%
Liechtenstein,2.5,2.4,Apr/22,%
United Arab Emirates,2.5,2.6,Dec/21,%
Oman,2.4,2.67,May/22,%
New Caledonia,2.2,1.8,Apr/22,%
Saudi Arabia,2.2,2.3,May/22,%
China,2.1,2.1,May/22,%
Seychelles,2.1,2.2,May/22,%
